상품명,제조사,평균가격,조사일
백설 건강발효 현미식초(800ml),CJ제일제당,4583.448275862069,2025-07-04
백설 고소함가득 참기름(320ml),CJ제일제당,10417.902813299233,2025-07-04
백설 구운소금(500g),CJ제일제당,2740.8,2025-07-04
백설 그릴 비엔나(560g),CJ제일제당,8985.780141843972,2025-07-04
백설 박력 밀가루(1kg),CJ제일제당,2638.694316436252,2025-07-04
백설 브라운 자일로스 설탕(1kg),CJ제일제당,4974.969230769231,2025-07-04
백설 소면(900g),CJ제일제당,3227.6470588235293,2025-07-04
백설 쇠고기 다시다(300g),CJ제일제당,9584.430769230768,2025-07-04
백설 요리 올리고당(1.2kg),CJ제일제당,5232.65306122449,2025-07-04
백설 자른 햇당면(300g),CJ제일제당,3279.8536585365855,2025-07-04
백설 자일로스 설탕(1kg),CJ제일제당,4645.288966725044,2025-07-04
백설 중력 밀가루(1kg),CJ제일제당,2006.5418502202642,2025-07-04
백설 찰밀가루(1kg),CJ제일제당,2749.4744976816073,2025-07-04
백설 카놀라유(900ml),CJ제일제당,7380.195121951219,2025-07-04
백설 콩기름(1.5L),CJ제일제당,7626.741573033708,2025-07-04
백설 파스타(500g),CJ제일제당,2879.4607843137255,2025-07-04
백설 포도씨유(900ml),CJ제일제당,15096.279809220985,2025-07-04
백설 하얀설탕(1kg),CJ제일제당,2612.0678336980304,2025-07-04
백설 햄스빌 두툼한 굿베이컨(340g),CJ제일제당,8530.837438423645,2025-07-04
백설 햄스빌 베이컨(330g),CJ제일제당,10002.07130730051,2025-07-04
백설 흑설탕(1kg),CJ제일제당,3357.750385208012,2025-07-04
버터롤 클래식(21개입),삼립식품,5520.408653846154,2025-07-04
벡셀 알카라인 건전지 AA(4개입),벡셀,7400.0,2025-07-04
벡셀 알카라인 건전지 AAA(4개입),벡셀,7400.0,2025-07-04
벨먼 포켓몬 UV 피카츄 선크림(50ml),LG생활건강,12900.0,2025-07-04
보노 콘스프(3개입),농심,3875.2960893854747,2025-07-04
보노 포르치니버섯스프(3개입),농심,3873.58574610245,2025-07-04
복음자리 딸기잼(380g),복음자리,6955.691056910569,2025-07-04
부세(200~400g),일반,6340.833333333333,2025-07-04
불가리스 사과(4개),남양유업,6012.592592592592,2025-07-04
불릴필요없는 병아리콩(2kg),농업회사법인대상,9990.0,2025-07-04
불릴필요없는 현미(2kg),농업회사법인월드그린,9980.0,2025-07-04
비비고 사골곰탕(500g),CJ제일제당,1984.6570972886761,2025-07-04
비비고 왕교자(1.12kg),CJ제일제당,9994.55399061033,2025-07-04
비비고 육개장(500g),CJ제일제당,6156.086387434555,2025-07-04
비비고 포기배추김치(3.3kg),CJ제일제당,34883.09859154929,2025-07-04
비타500 젤리(48g),광동제약,1500.0,2025-07-04
비타500(10개입),광동제약,8704.52865064695,2025-07-04
비타파워(20개입),롯데칠성음료,10423.808,2025-07-04
빅토리아 탄산수 플레인(500ml),웅진식품,953.1034482758621,2025-07-04
빙그레 더단백 프로틴 드링크 초코(250ml),빙그레,2061.062176165803,2025-07-04
빙그레 떡붕어 싸만코(150ml),빙그레,1337.9920477137177,2025-07-04
사조참치 살코기 안심따개(4캔),사조대림,8149.2150170648465,2025-07-04
산양분유 시그니처 1단계(800g),일동후디스,49636.1797752809,2025-07-04
삼다수(2L),광동제약,1159.5166858457997,2025-07-04
삼다수(2L*6개),광동제약,7088.454258675079,2025-07-04
삼다수(500ml),광동제약,535.1750547045951,2025-07-04
삼다수(500ml*20개),광동제약,10928.888888888889,2025-07-04
삼립 미니꿀약과(500g),삼립식품,5480.0,2025-07-04
삼립호떡 미니꿀호떡(16개입),삼립식품,4476.0,2025-07-04
삼양라면(5개입),삼양식품,3590.3779527559054,2025-07-04
삼호 안심 부산어묵(400g),CJ제일제당,4458.491803278688,2025-07-04
상하목장 슬로우버터 무염(100g),매일유업,3911.304347826087,2025-07-04
샘표 맥아물엿(1.2kg),샘표,4150.0,2025-07-04
샘표 토장(900g),샘표,9711.828571428572,2025-07-04
샤프란 아우라 초고농축 섬유유연제 홀리데이판타지(2L),LG생활건강,16686.162361623617,2025-07-04
샤프란케어 은은한향(900ml),LG생활건강,5463.1578947368425,2025-07-04
서울 저지방 우유(1L),서울우유,3404.353312302839,2025-07-04
서울우유 버터(450g),서울우유,11455.461538461539,2025-07-04
서울우유 체다슬라이스치즈(270g),서울우유,7015.714285714285,2025-07-04
서울우유 체다슬라이스치즈(360g),서울우유,9307.395143487858,2025-07-04
서울우유 흰우유(1L),서울우유,3126.0111731843576,2025-07-04
서울장수생막걸리(750ml),서울탁주,1699.2359249329759,2025-07-04
셀렉스 스포츠 웨이프로틴 초콜릿(330ml),매일헬스뉴트리션,2861.972602739726,2025-07-04
손잡이 크린백(35cm x 45cm),크린랩,5481.325966850829,2025-07-04
"쇠고기 등심(1+등급, 100g)",등심,16760.0,2025-07-04
"쇠고기 등심(1등급, 100g)",등심,14208.25925925926,2025-07-04
"쇠고기 불고기(1+등급, 100g)",불고기,5613.333333333333,2025-07-04
"쇠고기 불고기(1등급, 100g)",불고기,5432.0625,2025-07-04
순창 100% 현미 태양초 찰고추장(1kg),대상,20401.77852348993,2025-07-04
순창 재래식안심생된장(1kg),대상,9693.79767827529,2025-07-04
쉬크 하이드로5 베이직 센서티브 면도날(8개),LG생활건강,39300.0,2025-07-04
스모크델리 훈제오리(500g),팜덕,12980.0,2025-07-04
스카트 물걸레청소포 베이직 표준형(30매),유한킴벌리,11620.0,2025-07-04
스타벅스 네스프레소 디카프 에스프레소 로스트(57g),한국네슬레,9306.560726447218,2025-07-04
스타벅스 네스프레소 하우스 블렌드(57g),한국네슬레,9309.527027027027,2025-07-04
스타벅스 돌체구스토 하우스 블렌드(102g),한국네슬레,9348.573717948719,2025-07-04
스파크 분말세제(3kg),애경,12700.0,2025-07-04
스팸 클래식(200g),CJ제일제당,5535.2854812398045,2025-07-04
스페셜K 오리지널(480g),농심,8783.636363636364,2025-07-04
스프라이트(1.5L),코카콜라음료,3074.261006289308,2025-07-04
시금치(250~400g),일반,5147.8125,2025-07-04
식물성 마가린(200g),오뚜기,2428.0,2025-07-04
신라면(5개입),농심,4199.1065830721,2025-07-04
썬 부탄가스(4개),태양산업,7346.438356164384,2025-07-04
쏘피 바디피트 볼록맞춤 중형(36개입),LG생활건강,13477.118644067798,2025-07-04
